               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.020936,           0.0064978,           0.0078859,             0.88681,             0.92578,             0.95935,             0.74191,            0.015041,           0.0034045,           0.0080994,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020845,           0.0065164,           0.0075637,             0.91377,             0.86594,              0.9428,             0.72733,            0.014471,           0.0034564,            0.010066,            0.006733,            0.006733,            0.006733
                  68,              0.0209,           0.0063112,           0.0072886,             0.90462,             0.89965,             0.96115,             0.73382,            0.014744,            0.003454,           0.0074544,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020643,           0.0062852,           0.0066965,             0.87271,             0.95178,             0.95537,             0.73329,            0.014892,           0.0035231,           0.0094348,            0.006634,            0.006634,            0.006634
                  70,            0.020562,           0.0063088,            0.006904,             0.91813,             0.89716,             0.94892,              0.7189,              0.0151,           0.0035104,           0.0097724,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020445,           0.0062865,           0.0074785,             0.92016,             0.89787,             0.95622,             0.74179,            0.014963,           0.0034483,           0.0079128,            0.006535,            0.006535,            0.006535
                  72,             0.02043,           0.0061999,           0.0072103,             0.89985,             0.92754,             0.95876,             0.74486,            0.014311,           0.0033807,           0.0094565,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020369,            0.006115,           0.0070861,             0.92733,             0.88244,             0.95037,              0.7352,            0.015093,           0.0035581,           0.0093644,            0.006436,            0.006436,            0.006436
                  74,            0.020522,           0.0062453,           0.0065198,             0.86405,              0.9471,             0.96225,             0.74043,            0.015179,           0.0035181,           0.0095533,           0.0063865,           0.0063865,           0.0063865
                  75,            0.020965,           0.0062472,           0.0070681,             0.90824,             0.89828,             0.95111,             0.74158,            0.015029,           0.0035408,           0.0089242,            0.006337,            0.006337,            0.006337
                  76,            0.020304,           0.0061526,           0.0065445,             0.93115,             0.88259,             0.96406,              0.7347,            0.014773,            0.003407,           0.0078979,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020076,           0.0063091,           0.0064305,             0.91047,             0.92026,             0.96672,             0.74788,            0.014829,           0.0034908,           0.0070754,            0.006238,            0.006238,            0.006238
                  78,            0.020386,           0.0061535,           0.0059664,             0.85954,             0.91655,             0.94516,             0.73249,            0.014975,           0.0034359,            0.010822,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020019,           0.0062299,           0.0065288,             0.86664,             0.92592,             0.94894,             0.73767,            0.014891,           0.0035632,            0.010403,            0.006139,            0.006139,            0.006139
                  80,             0.02037,           0.0059494,           0.0060192,             0.90852,             0.90689,             0.94758,             0.73401,             0.01529,           0.0035148,           0.0099243,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019824,           0.0059455,           0.0064427,              0.8939,             0.90271,             0.95183,             0.72912,             0.01564,           0.0035343,            0.008787,             0.00604,             0.00604,             0.00604
                  82,            0.019901,           0.0060117,           0.0057731,             0.91459,             0.91998,             0.95157,             0.73124,            0.014984,           0.0034779,           0.0087312,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019829,           0.0061837,           0.0064734,             0.89375,             0.87411,             0.92607,             0.71218,            0.015371,           0.0035571,            0.011855,            0.005941,            0.005941,            0.005941
                  84,            0.020022,           0.0060722,           0.0064944,             0.88607,             0.89275,             0.94504,             0.72731,            0.014897,            0.003508,             0.01011,           0.0058915,           0.0058915,           0.0058915
                  85,             0.01942,           0.0061783,           0.0061104,             0.88955,             0.91507,                0.94,             0.72479,            0.015095,            0.003447,            0.011098,            0.005842,            0.005842,            0.005842
                  86,            0.019516,            0.005871,            0.005032,             0.86374,             0.92926,              0.9464,             0.72769,            0.015681,           0.0035242,            0.014952,           0.0057925,           0.0057925,           0.0057925
                  87,             0.01937,           0.0060148,           0.0062455,             0.92054,             0.91846,             0.95847,             0.74451,            0.014547,           0.0034537,            0.006843,            0.005743,            0.005743,            0.005743
                  88,            0.019611,           0.0059871,           0.0061024,             0.92373,             0.89365,             0.95237,             0.73842,            0.014916,           0.0035019,           0.0079404,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019368,           0.0060005,           0.0053052,             0.87795,              0.9024,             0.94177,             0.72566,            0.015166,            0.003461,           0.0087724,            0.005644,            0.005644,            0.005644
                  90,            0.018947,           0.0056995,           0.0057291,             0.91485,             0.88945,             0.94037,             0.72766,            0.014736,            0.003484,            0.011207,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019791,           0.0058873,           0.0062443,             0.89397,             0.91134,             0.94041,             0.72379,            0.015167,              0.0036,           0.0091802,            0.005545,            0.005545,            0.005545
                  92,            0.019501,           0.0059077,            0.005398,             0.89521,             0.89544,              0.9475,             0.73583,            0.015002,           0.0033747,            0.011626,           0.0054955,           0.0054955,           0.0054955
                  93,            0.019506,           0.0060041,           0.0057546,             0.92223,             0.90635,             0.94369,             0.72895,            0.014745,           0.0034097,            0.011308,            0.005446,            0.005446,            0.005446
                  94,            0.019036,            0.005755,           0.0054806,             0.91039,             0.94079,             0.96062,             0.74286,            0.014161,           0.0034173,           0.0094074,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019249,           0.0056405,            0.005064,             0.91047,             0.92252,              0.9564,             0.74123,            0.014141,           0.0034275,           0.0097919,            0.005347,            0.005347,            0.005347
                  96,               0.019,           0.0059285,           0.0048829,             0.91798,             0.90944,              0.9487,             0.74597,            0.014277,           0.0033931,           0.0082475,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019046,           0.0058826,           0.0051295,             0.89411,             0.92199,             0.93792,             0.72121,            0.014665,           0.0033649,            0.009681,            0.005248,            0.005248,            0.005248
                  98,            0.019062,           0.0058267,           0.0047178,             0.91175,             0.89435,             0.94897,             0.73957,            0.015009,           0.0034227,            0.011071,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018838,           0.0057343,           0.0051098,             0.90508,             0.92832,             0.94537,             0.72971,            0.014784,           0.0033823,            0.010865,            0.005149,            0.005149,            0.005149
                 100,            0.019004,           0.0059199,           0.0050506,             0.91379,             0.93714,             0.95551,             0.75101,            0.014506,           0.0033766,           0.0089784,           0.0050995,           0.0050995,           0.0050995
                 101,            0.018665,           0.0059377,           0.0051815,             0.91709,             0.90125,             0.94573,             0.73155,            0.014939,           0.0034894,            0.010771,             0.00505,             0.00505,             0.00505
                 102,              0.0183,           0.0058288,           0.0043511,              0.9177,             0.90061,             0.93705,             0.72999,            0.014668,           0.0034455,            0.011468,           0.0050005,           0.0050005,           0.0050005
                 103,             0.01843,           0.0057539,           0.0045752,             0.90923,             0.90234,             0.95162,              0.7321,            0.015139,           0.0034955,            0.010204,            0.004951,            0.004951,            0.004951
                 104,             0.01853,           0.0057652,           0.0048074,             0.92497,             0.89001,             0.94666,              0.7452,            0.014222,           0.0033218,            0.011121,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018276,           0.0056191,           0.0049094,              0.8842,             0.91738,             0.95606,             0.74632,            0.014532,           0.0034549,           0.0077451,            0.004852,            0.004852,            0.004852
                 106,            0.018323,           0.0056135,           0.0046652,             0.91906,              0.8975,             0.94384,             0.73551,            0.014202,            0.003338,           0.0090882,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018992,           0.0058064,           0.0054052,             0.92393,             0.93384,             0.95075,             0.74644,            0.013951,           0.0032686,           0.0085267,            0.004753,            0.004753,            0.004753
                 108,            0.018466,           0.0057242,           0.0042482,             0.88607,             0.94329,             0.94623,             0.73743,            0.014326,           0.0034063,           0.0095605,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018582,           0.0056713,           0.0041062,             0.91983,              0.8894,             0.94429,              0.7395,            0.014213,           0.0033583,           0.0089323,            0.004654,            0.004654,            0.004654
                 110,             0.01845,           0.0055834,           0.0048817,             0.91382,             0.91312,             0.95575,             0.74874,            0.014066,           0.0033519,           0.0081927,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018191,           0.0057283,           0.0045416,             0.91907,             0.89833,             0.95086,             0.74759,             0.01407,           0.0034912,           0.0086967,            0.004555,            0.004555,            0.004555
                 112,            0.017902,           0.0056603,           0.0044381,             0.89074,             0.93836,             0.94986,             0.75107,            0.014326,           0.0033187,           0.0087028,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017816,           0.0055496,           0.0037427,             0.92696,             0.91421,             0.95933,             0.74717,            0.014201,           0.0033461,           0.0072228,            0.004456,            0.004456,            0.004456
                 114,            0.017845,           0.0055632,           0.0037229,             0.92756,             0.93111,             0.95471,             0.74447,            0.014284,            0.003416,           0.0087747,           0.0044065,           0.0044065,           0.0044065
                 115,            0.017918,           0.0055773,           0.0037364,             0.92925,             0.91928,             0.94907,               0.744,            0.014217,           0.0033214,           0.0093559,            0.004357,            0.004357,            0.004357
                 116,            0.018139,           0.0058549,           0.0037284,             0.92639,             0.92635,             0.95379,             0.74863,            0.014472,           0.0033768,           0.0076138,           0.0043075,           0.0043075,           0.0043075
                 117,            0.017905,           0.0058288,           0.0041278,             0.92042,              0.9206,             0.95011,             0.73995,            0.014351,            0.003397,           0.0082005,            0.004258,            0.004258,            0.004258
                 118,            0.017634,            0.005491,           0.0037616,             0.89192,             0.91757,             0.94456,             0.72891,            0.014648,           0.0033427,           0.0099117,           0.0042085,           0.0042085,           0.0042085
                 119,            0.017881,           0.0058312,           0.0043108,             0.92092,              0.8998,             0.95133,             0.73831,            0.014729,           0.0033975,            0.011201,            0.004159,            0.004159,            0.004159
                 120,            0.017408,           0.0056818,           0.0040578,             0.88887,             0.93174,             0.95598,             0.74463,            0.014001,            0.003338,           0.0083927,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017461,           0.0056765,           0.0038348,             0.91123,              0.9042,             0.95631,             0.74765,            0.014106,           0.0033027,           0.0087711,             0.00406,             0.00406,             0.00406
                 122,            0.017013,           0.0054055,           0.0034712,              0.8827,             0.92043,             0.95568,             0.74892,            0.014178,            0.003345,           0.0084205,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017622,           0.0053647,           0.0035106,              0.9076,             0.90568,             0.94801,             0.74197,            0.014498,           0.0033601,            0.010265,            0.003961,            0.003961,            0.003961
                 124,             0.01755,           0.0056778,           0.0035825,             0.87771,             0.91828,             0.94493,             0.73754,            0.014349,           0.0033883,            0.011043,           0.0039115,           0.0039115,           0.0039115
                 125,            0.017339,           0.0056161,           0.0035531,             0.92892,             0.91059,             0.94224,             0.73711,            0.013922,           0.0032854,           0.0097198,            0.003862,            0.003862,            0.003862
